"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Deaths
"Breast"	"26000"	"2006"	"2006"	41209
"Breast"	"26000"	"2007"	"2007"	40969
"Breast"	"26000"	"2008"	"2008"	41026
"Breast"	"26000"	"2009"	"2009"	41076
"Breast"	"26000"	"2010"	"2010"	41435
"Breast"	"26000"	"2011"	"2011"	41374
"Cervix Uteri"	"27010"	"1999"	"1999"	4204
"Cervix Uteri"	"27010"	"2000"	"2000"	4200
"Cervix Uteri"	"27010"	"2001"	"2001"	4092
"Cervix Uteri"	"27010"	"2002"	"2002"	3952
"Cervix Uteri"	"27010"	"2003"	"2003"	3919
"Cervix Uteri"	"27010"	"2004"	"2004"	3850
"Cervix Uteri"	"27010"	"2005"	"2005"	3924
"Cervix Uteri"	"27010"	"2006"	"2006"	3976
"Cervix Uteri"	"27010"	"2007"	"2007"	4021
"Cervix Uteri"	"27010"	"2008"	"2008"	4008
"Cervix Uteri"	"27010"	"2009"	"2009"	3909
"Cervix Uteri"	"27010"	"2010"	"2010"	3939
"Cervix Uteri"	"27010"	"2011"	"2011"	4092
"Colon and Rectum"	"21041-21052"	"1999"	"1999"	57222
"Colon and Rectum"	"21041-21052"	"2000"	"2000"	57434
"Colon and Rectum"	"21041-21052"	"2001"	"2001"	56808
"Colon and Rectum"	"21041-21052"	"2002"	"2002"	56603
"Colon and Rectum"	"21041-21052"	"2003"	"2003"	55783
"Colon and Rectum"	"21041-21052"	"2004"	"2004"	53580
"Colon and Rectum"	"21041-21052"	"2005"	"2005"	53005
"Colon and Rectum"	"21041-21052"	"2006"	"2006"	53196
"Colon and Rectum"	"21041-21052"	"2007"	"2007"	53219
"Colon and Rectum"	"21041-21052"	"2008"	"2008"	52857
"Colon and Rectum"	"21041-21052"	"2009"	"2009"	51848
"Colon and Rectum"	"21041-21052"	"2010"	"2010"	52045
"Colon and Rectum"	"21041-21052"	"2011"	"2011"	51783
"Corpus Uteri"	"27020"	"1999"	"1999"	3121
"Corpus Uteri"	"27020"	"2000"	"2000"	3139
"Corpus Uteri"	"27020"	"2001"	"2001"	3185
"Corpus Uteri"	"27020"	"2002"	"2002"	3187
"Corpus Uteri"	"27020"	"2003"	"2003"	3261
"Corpus Uteri"	"27020"	"2004"	"2004"	3272
"Corpus Uteri"	"27020"	"2005"	"2005"	3259
"Corpus Uteri"	"27020"	"2006"	"2006"	3449
"Corpus Uteri"	"27020"	"2007"	"2007"	3377
"Corpus Uteri"	"27020"	"2008"	"2008"	3436
"Corpus Uteri"	"27020"	"2009"	"2009"	3333
"Corpus Uteri"	"27020"	"2010"	"2010"	3644
"Corpus Uteri"	"27020"	"2011"	"2011"	3714
"Esophagus"	"21010"	"1999"	"1999"	11917
"Esophagus"	"21010"	"2000"	"2000"	12232
"Esophagus"	"21010"	"2001"	"2001"	12529
"Esophagus"	"21010"	"2002"	"2002"	12700
"Esophagus"	"21010"	"2003"	"2003"	12860
"Esophagus"	"21010"	"2004"	"2004"	13023
"Esophagus"	"21010"	"2005"	"2005"	13499
"Esophagus"	"21010"	"2006"	"2006"	13685
"Esophagus"	"21010"	"2007"	"2007"	13592
"Esophagus"	"21010"	"2008"	"2008"	13714
"Esophagus"	"21010"	"2009"	"2009"	13908
"Esophagus"	"21010"	"2010"	"2010"	14490
"Esophagus"	"21010"	"2011"	"2011"	14446
"Gallbladder"	"21080"	"1999"	"1999"	2059
"Gallbladder"	"21080"	"2000"	"2000"	1949
"Gallbladder"	"21080"	"2001"	"2001"	1971
"Gallbladder"	"21080"	"2002"	"2002"	1907
"Gallbladder"	"21080"	"2003"	"2003"	1915
"Gallbladder"	"21080"	"2004"	"2004"	1936
"Gallbladder"	"21080"	"2005"	"2005"	1989
"Gallbladder"	"21080"	"2006"	"2006"	2000
"Gallbladder"	"21080"	"2007"	"2007"	1914
"Gallbladder"	"21080"	"2008"	"2008"	1971
"Gallbladder"	"21080"	"2009"	"2009"	2048
"Gallbladder"	"21080"	"2010"	"2010"	2105
"Gallbladder"	"21080"	"2011"	"2011"	2101
"Kidney and Renal Pelvis"	"29020"	"1999"	"1999"	11116
"Kidney and Renal Pelvis"	"29020"	"2000"	"2000"	11736
"Kidney and Renal Pelvis"	"29020"	"2001"	"2001"	12078
"Kidney and Renal Pelvis"	"29020"	"2002"	"2002"	12165
"Kidney and Renal Pelvis"	"29020"	"2003"	"2003"	12286
"Kidney and Renal Pelvis"	"29020"	"2004"	"2004"	12313
"Kidney and Renal Pelvis"	"29020"	"2005"	"2005"	12517
"Kidney and Renal Pelvis"	"29020"	"2006"	"2006"	12379
"Kidney and Renal Pelvis"	"29020"	"2007"	"2007"	12703
"Kidney and Renal Pelvis"	"29020"	"2008"	"2008"	12895
"Kidney and Renal Pelvis"	"29020"	"2009"	"2009"	12995
"Kidney and Renal Pelvis"	"29020"	"2010"	"2010"	13219
"Kidney and Renal Pelvis"	"29020"	"2011"	"2011"	13559
"Larynx"	"22020"	"1999"	"1999"	3815
"Larynx"	"22020"	"2000"	"2000"	3861
"Larynx"	"22020"	"2001"	"2001"	3797
"Larynx"	"22020"	"2002"	"2002"	3722
"Larynx"	"22020"	"2003"	"2003"	3791
"Larynx"	"22020"	"2004"	"2004"	3668
"Larynx"	"22020"	"2005"	"2005"	3796
"Larynx"	"22020"	"2006"	"2006"	3821
"Larynx"	"22020"	"2007"	"2007"	3634
"Larynx"	"22020"	"2008"	"2008"	3760
"Larynx"	"22020"	"2009"	"2009"	3630
"Larynx"	"22020"	"2010"	"2010"	3691
"Larynx"	"22020"	"2011"	"2011"	3732
"Leukemias"	"35011-35043"	"1999"	"1999"	21071
"Leukemias"	"35011-35043"	"2000"	"2000"	21397
"Leukemias"	"35011-35043"	"2001"	"2001"	21532
"Leukemias"	"35011-35043"	"2002"	"2002"	21581
"Leukemias"	"35011-35043"	"2003"	"2003"	21608
"Leukemias"	"35011-35043"	"2004"	"2004"	21472
"Leukemias"	"35011-35043"	"2005"	"2005"	21716
"Leukemias"	"35011-35043"	"2006"	"2006"	22016
"Leukemias"	"35011-35043"	"2007"	"2007"	21928
"Leukemias"	"35011-35043"	"2008"	"2008"	22431
"Leukemias"	"35011-35043"	"2009"	"2009"	22688
"Leukemias"	"35011-35043"	"2010"	"2010"	22673
"Leukemias"	"35011-35043"	"2011"	"2011"	23194
"Liver"	"21071"	"1999"	"1999"	9830
"Liver"	"21071"	"2000"	"2000"	10192
"Liver"	"21071"	"2001"	"2001"	10489
"Liver"	"21071"	"2002"	"2002"	11048
"Liver"	"21071"	"2003"	"2003"	11423
"Liver"	"21071"	"2004"	"2004"	11831
"Liver"	"21071"	"2005"	"2005"	12544
"Liver"	"21071"	"2006"	"2006"	12832
"Liver"	"21071"	"2007"	"2007"	13291
"Liver"	"21071"	"2008"	"2008"	14176
"Liver"	"21071"	"2009"	"2009"	14963
"Liver"	"21071"	"2010"	"2010"	15537
"Liver"	"21071"	"2011"	"2011"	16631
"Lung and Bronchus"	"22030"	"1999"	"1999"	152061
"Lung and Bronchus"	"22030"	"2000"	"2000"	155426
"Lung and Bronchus"	"22030"	"2001"	"2001"	155969
"Lung and Bronchus"	"22030"	"2002"	"2002"	157630
"Lung and Bronchus"	"22030"	"2003"	"2003"	157990
"Lung and Bronchus"	"22030"	"2004"	"2004"	158006
"Lung and Bronchus"	"22030"	"2005"	"2005"	159217
"Lung and Bronchus"	"22030"	"2006"	"2006"	158599
"Lung and Bronchus"	"22030"	"2007"	"2007"	158683
"Lung and Bronchus"	"22030"	"2008"	"2008"	158592
"Lung and Bronchus"	"22030"	"2009"	"2009"	158081
"Lung and Bronchus"	"22030"	"2010"	"2010"	158248
"Lung and Bronchus"	"22030"	"2011"	"2011"	156953
"Melanoma of the Skin"	"25010"	"1999"	"1999"	7215
"Melanoma of the Skin"	"25010"	"2000"	"2000"	7420
"Melanoma of the Skin"	"25010"	"2001"	"2001"	7542
"Melanoma of the Skin"	"25010"	"2002"	"2002"	7513
"Melanoma of the Skin"	"25010"	"2003"	"2003"	7818
"Melanoma of the Skin"	"25010"	"2004"	"2004"	7952
"Melanoma of the Skin"	"25010"	"2005"	"2005"	8345
"Melanoma of the Skin"	"25010"	"2006"	"2006"	8441
"Melanoma of the Skin"	"25010"	"2007"	"2007"	8461
"Melanoma of the Skin"	"25010"	"2008"	"2008"	8623
"Melanoma of the Skin"	"25010"	"2009"	"2009"	9199
"Melanoma of the Skin"	"25010"	"2010"	"2010"	9154
"Melanoma of the Skin"	"25010"	"2011"	"2011"	9128
"Myeloma"	"34000"	"1999"	"1999"	10508
"Myeloma"	"34000"	"2000"	"2000"	10639
"Myeloma"	"34000"	"2001"	"2001"	10714
"Myeloma"	"34000"	"2002"	"2002"	10913
"Myeloma"	"34000"	"2003"	"2003"	10809
"Myeloma"	"34000"	"2004"	"2004"	10578
"Myeloma"	"34000"	"2005"	"2005"	10758
"Myeloma"	"34000"	"2006"	"2006"	10712
"Myeloma"	"34000"	"2007"	"2007"	10872
"Myeloma"	"34000"	"2008"	"2008"	10606
"Myeloma"	"34000"	"2009"	"2009"	10690
"Myeloma"	"34000"	"2010"	"2010"	11022
"Myeloma"	"34000"	"2011"	"2011"	11411
"Non-Hodgkin Lymphoma"	"33041-33042"	"1999"	"1999"	22802
"Non-Hodgkin Lymphoma"	"33041-33042"	"2000"	"2000"	22729
"Non-Hodgkin Lymphoma"	"33041-33042"	"2001"	"2001"	22305
"Non-Hodgkin Lymphoma"	"33041-33042"	"2002"	"2002"	21910
"Non-Hodgkin Lymphoma"	"33041-33042"	"2003"	"2003"	21475
"Non-Hodgkin Lymphoma"	"33041-33042"	"2004"	"2004"	20938
"Non-Hodgkin Lymphoma"	"33041-33042"	"2005"	"2005"	20873
"Non-Hodgkin Lymphoma"	"33041-33042"	"2006"	"2006"	20593
"Non-Hodgkin Lymphoma"	"33041-33042"	"2007"	"2007"	20528
"Non-Hodgkin Lymphoma"	"33041-33042"	"2008"	"2008"	20368
"Non-Hodgkin Lymphoma"	"33041-33042"	"2009"	"2009"	20389
"Non-Hodgkin Lymphoma"	"33041-33042"	"2010"	"2010"	20294
"Non-Hodgkin Lymphoma"	"33041-33042"	"2011"	"2011"	20317
"Oral Cavity and Pharynx"	"20010-20100"	"1999"	"1999"	7486
"Oral Cavity and Pharynx"	"20010-20100"	"2000"	"2000"	7492
"Oral Cavity and Pharynx"	"20010-20100"	"2001"	"2001"	7701
"Oral Cavity and Pharynx"	"20010-20100"	"2002"	"2002"	7737
"Oral Cavity and Pharynx"	"20010-20100"	"2003"	"2003"	7777
"Oral Cavity and Pharynx"	"20010-20100"	"2004"	"2004"	7826
"Oral Cavity and Pharynx"	"20010-20100"	"2005"	"2005"	7773
"Oral Cavity and Pharynx"	"20010-20100"	"2006"	"2006"	7720
"Oral Cavity and Pharynx"	"20010-20100"	"2007"	"2007"	8067
"Oral Cavity and Pharynx"	"20010-20100"	"2008"	"2008"	8019
"Oral Cavity and Pharynx"	"20010-20100"	"2009"	"2009"	7922
"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	8474
"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	8657
"Ovary"	"27040"	"1999"	"1999"	13627
"Ovary"	"27040"	"2000"	"2000"	14060
"Ovary"	"27040"	"2001"	"2001"	14414
"Ovary"	"27040"	"2002"	"2002"	14682
"Ovary"	"27040"	"2003"	"2003"	14657
"Ovary"	"27040"	"2004"	"2004"	14716
"Ovary"	"27040"	"2005"	"2005"	14787
"Ovary"	"27040"	"2006"	"2006"	14857
"Ovary"	"27040"	"2007"	"2007"	14621
"Ovary"	"27040"	"2008"	"2008"	14362
"Ovary"	"27040"	"2009"	"2009"	14436
"Ovary"	"27040"	"2010"	"2010"	14572
"Ovary"	"27040"	"2011"	"2011"	14346
"Pancreas"	"21100"	"1999"	"1999"	29081
"Pancreas"	"21100"	"2000"	"2000"	29331
"Pancreas"	"21100"	"2001"	"2001"	29802
"Pancreas"	"21100"	"2002"	"2002"	30263
"Pancreas"	"21100"	"2003"	"2003"	30777
"Pancreas"	"21100"	"2004"	"2004"	31771
"Pancreas"	"21100"	"2005"	"2005"	32759
"Pancreas"	"21100"	"2006"	"2006"	33454
"Pancreas"	"21100"	"2007"	"2007"	34117
"Pancreas"	"21100"	"2008"	"2008"	35234
"Pancreas"	"21100"	"2009"	"2009"	35628
"Pancreas"	"21100"	"2010"	"2010"	36888
"Pancreas"	"21100"	"2011"	"2011"	37344
"Prostate"	"28010"	"1999"	"1999"	31728
"Prostate"	"28010"	"2000"	"2000"	31078
"Prostate"	"28010"	"2001"	"2001"	30719
"Prostate"	"28010"	"2002"	"2002"	30446
"Prostate"	"28010"	"2003"	"2003"	29554
"Prostate"	"28010"	"2004"	"2004"	29002
"Prostate"	"28010"	"2005"	"2005"	28905
"Prostate"	"28010"	"2006"	"2006"	28372
"Prostate"	"28010"	"2007"	"2007"	29093
"Prostate"	"28010"	"2008"	"2008"	28471
"Prostate"	"28010"	"2009"	"2009"	28088
"Prostate"	"28010"	"2010"	"2010"	28560
"Prostate"	"28010"	"2011"	"2011"	27970
"Stomach"	"21020"	"1999"	"1999"	12711
"Stomach"	"21020"	"2000"	"2000"	12645
"Stomach"	"21020"	"2001"	"2001"	12319
"Stomach"	"21020"	"2002"	"2002"	12198
"Stomach"	"21020"	"2003"	"2003"	12110
"Stomach"	"21020"	"2004"	"2004"	11859
"Stomach"	"21020"	"2005"	"2005"	11514
"Stomach"	"21020"	"2006"	"2006"	11345
"Stomach"	"21020"	"2007"	"2007"	11388
"Stomach"	"21020"	"2008"	"2008"	11352
"Stomach"	"21020"	"2009"	"2009"	11184
"Stomach"	"21020"	"2010"	"2010"	11390
"Stomach"	"21020"	"2011"	"2011"	11035
"Thyroid"	"32010"	"1999"	"1999"	1241
"Thyroid"	"32010"	"2000"	"2000"	1328
"Thyroid"	"32010"	"2001"	"2001"	1354
"Thyroid"	"32010"	"2002"	"2002"	1367
"Thyroid"	"32010"	"2003"	"2003"	1312
"Thyroid"	"32010"	"2004"	"2004"	1409
"Thyroid"	"32010"	"2005"	"2005"	1462
"Thyroid"	"32010"	"2006"	"2006"	1518
"Thyroid"	"32010"	"2007"	"2007"	1562
"Thyroid"	"32010"	"2008"	"2008"	1649
"Thyroid"	"32010"	"2009"	"2009"	1707
"Thyroid"	"32010"	"2010"	"2010"	1686
"Thyroid"	"32010"	"2011"	"2011"	1747
"Urinary Bladder"	"29010"	"1999"	"1999"	11910
"Urinary Bladder"	"29010"	"2000"	"2000"	12002
"Urinary Bladder"	"29010"	"2001"	"2001"	12225
"Urinary Bladder"	"29010"	"2002"	"2002"	12627
"Urinary Bladder"	"29010"	"2003"	"2003"	12483
"Urinary Bladder"	"29010"	"2004"	"2004"	13030
"Urinary Bladder"	"29010"	"2005"	"2005"	13253
"Urinary Bladder"	"29010"	"2006"	"2006"	13474
"Urinary Bladder"	"29010"	"2007"	"2007"	13843
"Urinary Bladder"	"29010"	"2008"	"2008"	14036
"Urinary Bladder"	"29010"	"2009"	"2009"	14201
"Urinary Bladder"	"29010"	"2010"	"2010"	14730
"Urinary Bladder"	"29010"	"2011"	"2011"	15014
